name,address,price,category,rating,url
미나미,"서초구 서초대로 58길 31-2, Seoul, 06632, 한국",₩ (저렴),소바,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/minami
리알토,"강남구 삼성로 149길 13, 2층, Seoul, 06063, 한국",₩₩ (보통),이탤리언,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/rialto
버드나무집,"서초구 효령로 434, Seoul, 06729, 한국",₩₩ (보통),바비큐,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/budnamujip
에스콘디도,"용산구 한남대로 20길 61-7, 지하 1층, Seoul, 04419, 한국",₩₩₩ (다소 고가),멕시칸,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/escondido
오프닝,"강남구 도산대로 34길 22, 지하1층, Seoul, 06049, 한국",₩₩₩ (다소 고가),컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/opnng
툭툭 누들 타이,"마포구 성미산로 161-8, Seoul, 03980, 한국",₩ (저렴),타이,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tuktuk-noodle-thai
키라메키,"강남구 도산대로 28길 18, Seoul, 06040, 한국",₩₩₩₩ (고가),일식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kirameki
진미식당,"마포구 마포대로 186-6, Seoul, 04207, 한국",₩₩ (보통),게장,Small Shop,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jinmi-sikdang
꿉당,"서초구 강남대로 615, Seoul, 06524, 한국",₩ (저렴),바비큐,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ggupdang
황금콩밭,"마포구 마포대로 16길 9, Seoul, 04205, 한국",₩ (저렴),두부,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwanggeum-kongbat
옥동식,"마포구 양화로 7길 44-10, Seoul, 04035, 한국",₩ (저렴),돼지국밥,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdongsik
교다이야,"마포구 성지길 39, Seoul, 04083, 한국",₩ (저렴),우동,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kyodaiya
